Age,Gender,Relationship_Status,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,num_app_switches,notification_count,Sleep_Hours_Per_Night,Affects_Academic_Performance,Conflicts_Over_Social_Media,Mental_Health_Score,Source
24,male,single,graduate,2.2,linkedin,43,79,7.4,no,0,8,Real_Survey
19,female,complicated,high school,5.9,instagram,42,70,5.3,yes,4,5,Real_Survey
21,male,single,undergraduate,3.6,facebook,53,108,6.7,no,1,7,Real_Survey
20,female,in relationship,undergraduate,4.8,snapchat,47,103,5.7,yes,3,6,Real_Survey
18,male,complicated,high school,5.4,tiktok,48,60,5.4,yes,4,5,Real_Survey
23,female,single,graduate,2.6,linkedin,49,90,7.2,no,1,8,Real_Survey
19,male,in relationship,undergraduate,4.7,instagram,49,55,5.8,yes,3,6,Real_Survey
20,female,complicated,undergraduate,5.6,tiktok,55,45,5.5,yes,4,5,Real_Survey
22,male,single,graduate,3.1,facebook,44,64,6.8,no,1,7,Real_Survey
19,female,in relationship,high school,6.2,instagram,47,101,5.1,yes,4,5,Real_Survey
21,male,complicated,undergraduate,3.9,youtube,61,103,6.5,no,2,7,Real_Survey
20,female,single,undergraduate,4.5,tiktok,53,92,5.8,yes,3,6,Real_Survey
24,male,in relationship,graduate,2.3,linkedin,41,98,7.3,no,1,8,Real_Survey
19,female,complicated,high school,5.8,instagram,52,92,5.4,yes,4,5,Real_Survey
21,male,single,undergraduate,3.7,facebook,60,63,6.6,no,2,7,Real_Survey
20,female,in relationship,undergraduate,4.6,snapchat,41,90,5.7,yes,3,6,Real_Survey
18,male,single,high school,5.5,tiktok,44,100,5.3,yes,4,5,Real_Survey
23,female,complicated,graduate,2.7,linkedin,47,98,7.1,no,1,8,Real_Survey
19,male,in relationship,undergraduate,4.8,instagram,40,109,5.9,yes,3,6,Real_Survey
20,female,single,undergraduate,5.5,tiktok,41,97,5.6,yes,4,5,Real_Survey
22,male,in relationship,graduate,3.3,facebook,57,88,6.7,no,2,7,Real_Survey
19,female,complicated,high school,6.3,instagram,44,106,5.2,yes,4,5,Real_Survey
21,male,single,undergraduate,3.8,youtube,55,79,6.4,no,2,7,Real_Survey
20,female,in relationship,undergraduate,4.7,tiktok,54,57,5.8,yes,3,6,Real_Survey
24,male,complicated,graduate,2.4,linkedin,44,75,7.2,no,1,8,Real_Survey
19,female,single,high school,5.7,instagram,43,61,5.5,yes,4,5,Real_Survey
21,male,in relationship,undergraduate,3.6,facebook,52,63,6.5,no,2,7,Real_Survey
20,female,complicated,undergraduate,4.9,snapchat,49,76,5.6,yes,3,6,Real_Survey
18,male,single,high school,5.6,tiktok,42,60,5.2,yes,4,5,Real_Survey
23,female,in relationship,graduate,2.8,linkedin,50,72,7.0,no,1,8,Real_Survey
19,male,complicated,undergraduate,4.6,instagram,63,32,5.9,yes,3,6,Real_Survey
20,female,single,undergraduate,5.4,tiktok,54,85,5.7,yes,4,5,Real_Survey
22,male,single,graduate,3.1,facebook,52,80,7.1,no,1,7,Real_Survey
19,female,in relationship,undergraduate,5.6,instagram,48,59,5.6,yes,3,5,Real_Survey
20,male,complicated,undergraduate,4.2,tiktok,49,96,6.0,yes,3,6,Real_Survey
18,female,single,high school,6.1,snapchat,59,103,5.2,yes,4,4,Real_Survey
23,male,in relationship,graduate,2.3,linkedin,52,39,7.4,no,1,8,Real_Survey
21,female,single,undergraduate,4.8,instagram,35,60,5.8,yes,3,6,Real_Survey
20,male,complicated,undergraduate,3.9,youtube,57,60,6.5,no,2,7,Real_Survey
19,female,in relationship,high school,5.7,tiktok,46,56,5.4,yes,4,5,Real_Survey
22,male,single,graduate,2.8,linkedin,51,100,7.2,no,1,8,Real_Survey
20,female,complicated,undergraduate,4.5,instagram,47,75,5.9,yes,3,6,Real_Survey
18,male,single,high school,5.4,snapchat,55,73,5.5,yes,4,5,Real_Survey
21,female,in relationship,graduate,3.2,facebook,44,29,6.8,no,2,7,Real_Survey
19,male,complicated,undergraduate,4.9,tiktok,41,95,5.7,yes,3,6,Real_Survey
20,female,single,undergraduate,5.8,instagram,50,49,5.3,yes,4,5,Real_Survey
23,male,in relationship,graduate,2.5,linkedin,62,81,7.3,no,1,8,Real_Survey
21,female,single,undergraduate,4.6,snapchat,52,86,5.8,yes,3,6,Real_Survey
19,male,complicated,high school,5.5,tiktok,41,114,5.4,yes,4,5,Real_Survey
22,female,in relationship,graduate,2.9,facebook,50,47,7.0,no,2,7,Real_Survey
20,male,single,undergraduate,4.7,youtube,37,20,5.9,yes,3,6,Real_Survey
18,female,complicated,high school,5.9,instagram,43,84,5.2,yes,4,5,Real_Survey
21,male,in relationship,graduate,3.0,linkedin,51,125,7.1,no,1,8,Real_Survey
19,female,single,undergraduate,4.8,tiktok,56,110,5.7,yes,3,6,Real_Survey
20,male,complicated,undergraduate,3.8,facebook,50,85,6.6,no,2,7,Real_Survey
22,female,in relationship,graduate,2.7,linkedin,48,67,7.2,no,1,8,Real_Survey
18,male,single,high school,5.6,snapchat,42,100,5.3,yes,4,5,Real_Survey
21,female,complicated,undergraduate,4.5,instagram,47,55,5.8,yes,3,6,Real_Survey
19,male,in relationship,high school,5.3,tiktok,53,91,5.5,yes,4,5,Real_Survey
23,female,single,graduate,2.6,linkedin,55,92,7.3,no,1,8,Real_Survey
20,male,complicated,undergraduate,4.4,youtube,44,106,6.0,yes,3,6,Real_Survey
18,female,single,high school,5.8,instagram,57,148,5.2,yes,4,5,Real_Survey
22,male,in relationship,graduate,2.9,facebook,53,89,7.0,no,2,7,Real_Survey
19,female,complicated,undergraduate,4.7,tiktok,39,67,5.8,yes,3,6,Real_Survey
21,male,single,undergraduate,3.7,snapchat,58,79,6.5,no,2,7,Real_Survey
20,female,in relationship,high school,5.5,instagram,54,35,5.4,yes,4,5,Real_Survey
23,male,complicated,graduate,2.4,linkedin,45,62,7.4,no,1,8,Real_Survey
19,female,single,undergraduate,4.9,tiktok,43,69,5.7,yes,3,6,Real_Survey
18,male,in relationship,high school,5.7,snapchat,43,66,5.3,yes,4,5,Real_Survey
22,female,complicated,graduate,2.8,linkedin,48,83,7.1,no,1,8,Real_Survey
20,male,single,undergraduate,4.6,instagram,57,59,5.9,yes,3,6,Real_Survey
21,female,in relationship,undergraduate,5.4,tiktok,45,108,5.5,yes,4,5,Real_Survey
19,male,complicated,high school,5.8,youtube,52,80,5.2,yes,4,5,Real_Survey
23,female,single,graduate,2.5,linkedin,53,79,7.3,no,1,8,Real_Survey
20,male,in relationship,undergraduate,4.7,facebook,51,71,5.8,yes,3,6,Real_Survey
18,female,single,high school,5.6,instagram,56,83,5.4,yes,4,5,Real_Survey
22,male,complicated,graduate,2.9,linkedin,59,100,7.0,no,2,7,Real_Survey
19,female,in relationship,undergraduate,4.8,tiktok,60,58,5.7,yes,3,6,Real_Survey
21,male,single,undergraduate,3.8,youtube,48,63,6.6,no,2,7,Real_Survey
20,female,complicated,high school,5.5,snapchat,45,72,5.5,yes,4,5,Real_Survey
23,male,in relationship,graduate,2.6,linkedin,53,46,7.2,no,1,8,Real_Survey
19,female,single,undergraduate,4.9,instagram,41,59,5.8,yes,3,6,Real_Survey
20,male,single,undergraduate,6.1,instagram,42,68,6.2,yes,4,5,Real_Survey
21,female,in relationship,undergraduate,5.8,tiktok,40,101,5.9,yes,3,6,Real_Survey
19,male,single,undergraduate,4.9,facebook,45,86,7.1,no,2,7,Real_Survey
22,female,single,graduate,5.5,instagram,53,84,6.0,yes,4,5,Real_Survey
20,male,in relationship,undergraduate,5.2,tiktok,43,101,6.3,yes,3,6,Real_Survey
19,female,single,undergraduate,4.8,instagram,59,76,7.2,no,2,8,Real_Survey
21,male,in relationship,graduate,6.0,facebook,52,89,5.8,yes,4,5,Real_Survey
20,female,single,undergraduate,5.7,instagram,48,77,6.1,yes,3,6,Real_Survey
22,male,single,graduate,4.7,tiktok,50,86,7.3,no,2,7,Real_Survey
19,female,in relationship,undergraduate,5.4,instagram,42,65,6.2,yes,4,5,Real_Survey
20,male,single,undergraduate,5.9,facebook,38,20,5.9,yes,3,6,Real_Survey
21,female,in relationship,graduate,4.6,instagram,44,76,7.4,no,2,8,Real_Survey
19,male,single,undergraduate,5.3,tiktok,45,115,6.3,yes,4,5,Real_Survey
22,female,in relationship,graduate,5.8,instagram,55,103,5.8,yes,3,6,Real_Survey
20,male,single,undergraduate,4.5,facebook,51,104,7.5,no,2,7,Real_Survey
21,female,in relationship,graduate,5.2,instagram,53,110,6.4,yes,4,5,Real_Survey
19,male,single,undergraduate,5.7,tiktok,55,82,5.7,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.4,instagram,52,84,7.6,no,2,8,Real_Survey
22,male,single,graduate,5.1,facebook,50,64,6.5,yes,4,5,Real_Survey
21,female,in relationship,graduate,5.6,instagram,46,72,5.6,yes,3,6,Real_Survey
19,male,single,undergraduate,4.3,tiktok,40,95,7.7,no,2,7,Real_Survey
20,female,in relationship,undergraduate,5.0,instagram,55,110,6.6,yes,4,5,Real_Survey
22,male,single,graduate,5.5,facebook,54,76,5.5,yes,3,6,Real_Survey
21,female,in relationship,graduate,4.2,instagram,44,68,7.8,no,2,8,Real_Survey
19,male,single,undergraduate,4.9,tiktok,57,80,6.7,yes,4,5,Real_Survey
20,female,in relationship,undergraduate,5.4,instagram,45,95,5.4,yes,3,6,Real_Survey
22,male,single,graduate,4.1,facebook,47,43,7.9,no,2,7,Real_Survey
21,female,in relationship,graduate,4.8,instagram,62,22,6.8,yes,4,5,Real_Survey
19,male,single,undergraduate,5.3,tiktok,66,66,5.3,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.0,instagram,43,49,8.0,no,2,8,Real_Survey
22,male,single,graduate,4.7,facebook,59,67,6.9,yes,4,5,Real_Survey
21,female,in relationship,graduate,5.2,instagram,57,76,5.2,yes,3,6,Real_Survey
19,male,single,undergraduate,3.9,tiktok,54,68,8.1,no,2,7,Real_Survey
20,female,in relationship,undergraduate,4.6,instagram,44,116,7.0,yes,4,5,Real_Survey
22,male,single,graduate,5.1,facebook,65,88,5.1,yes,3,6,Real_Survey
21,female,in relationship,graduate,3.8,instagram,42,87,8.2,no,2,8,Real_Survey
19,male,single,undergraduate,4.5,tiktok,62,95,7.1,yes,4,5,Real_Survey
20,female,in relationship,undergraduate,5.0,instagram,54,51,5.0,yes,3,6,Real_Survey
22,male,single,graduate,3.7,facebook,65,105,8.3,no,2,7,Real_Survey
21,female,in relationship,graduate,4.4,instagram,46,78,7.2,yes,4,5,Real_Survey
19,male,single,undergraduate,4.9,tiktok,44,96,4.9,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,3.6,instagram,37,53,8.4,no,2,8,Real_Survey
22,male,single,graduate,4.3,facebook,47,41,7.3,yes,4,5,Real_Survey
21,female,in relationship,graduate,4.8,instagram,36,100,4.8,yes,3,6,Real_Survey
19,male,single,undergraduate,3.5,tiktok,51,89,8.5,no,2,7,Real_Survey
20,female,in relationship,undergraduate,4.2,instagram,46,57,7.4,yes,4,5,Real_Survey
22,male,single,graduate,4.7,facebook,60,58,4.7,yes,3,6,Real_Survey
21,female,in relationship,graduate,3.4,instagram,44,108,8.6,no,2,8,Real_Survey
19,male,single,undergraduate,4.1,tiktok,59,50,7.5,yes,4,5,Real_Survey
20,female,in relationship,undergraduate,4.6,instagram,59,121,4.6,yes,3,6,Real_Survey
19,female,single,undergraduate,5.3,instagram,64,57,6.1,yes,3,5,Real_Survey
21,male,in relationship,graduate,4.8,facebook,56,95,7.2,no,2,7,Real_Survey
20,female,single,undergraduate,5.5,tiktok,50,71,5.9,yes,4,6,Real_Survey
22,male,in relationship,graduate,4.7,instagram,56,95,6.3,yes,3,5,Real_Survey
19,female,single,undergraduate,5.1,facebook,48,66,7.0,no,2,7,Real_Survey
21,male,in relationship,graduate,5.4,tiktok,44,75,6.0,yes,4,6,Real_Survey
20,female,single,undergraduate,4.9,instagram,47,81,6.4,yes,3,5,Real_Survey
22,male,in relationship,graduate,5.2,facebook,46,54,7.1,no,2,7,Real_Survey
19,female,single,undergraduate,5.6,tiktok,32,98,5.8,yes,4,6,Real_Survey
21,male,in relationship,graduate,4.6,instagram,48,67,6.5,yes,3,5,Real_Survey
20,female,single,undergraduate,5.0,facebook,56,74,7.3,no,2,7,Real_Survey
22,male,in relationship,graduate,5.3,tiktok,48,55,5.7,yes,4,6,Real_Survey
19,female,single,undergraduate,4.8,instagram,65,20,6.6,yes,3,5,Real_Survey
21,male,in relationship,graduate,5.1,facebook,52,75,7.4,no,2,7,Real_Survey
20,female,single,undergraduate,5.7,tiktok,65,140,5.6,yes,4,6,Real_Survey
22,male,in relationship,graduate,4.5,instagram,52,99,6.7,yes,3,5,Real_Survey
19,female,single,undergraduate,4.9,facebook,44,79,7.5,no,2,7,Real_Survey
21,male,in relationship,graduate,5.2,tiktok,44,73,5.5,yes,4,6,Real_Survey
20,female,single,undergraduate,4.7,instagram,56,80,6.8,yes,3,5,Real_Survey
22,male,in relationship,graduate,5.0,facebook,48,93,7.6,no,2,7,Real_Survey
19,female,single,undergraduate,5.8,tiktok,54,50,5.4,yes,4,6,Real_Survey
21,male,in relationship,graduate,4.4,instagram,57,107,6.9,yes,3,5,Real_Survey
20,female,single,undergraduate,4.8,facebook,44,97,7.7,no,2,7,Real_Survey
22,male,in relationship,graduate,5.1,tiktok,52,97,5.3,yes,4,6,Real_Survey
19,female,single,undergraduate,4.6,instagram,39,90,7.0,yes,3,5,Real_Survey
21,male,in relationship,graduate,4.9,facebook,45,80,7.8,no,2,7,Real_Survey
20,female,single,undergraduate,5.9,tiktok,59,96,5.2,yes,4,6,Real_Survey
22,male,in relationship,graduate,4.3,instagram,53,94,7.1,yes,3,5,Real_Survey
19,female,single,undergraduate,4.7,facebook,38,71,7.9,no,2,7,Real_Survey
21,male,in relationship,graduate,5.0,tiktok,47,65,5.1,yes,4,6,Real_Survey
20,female,single,undergraduate,4.5,instagram,55,82,7.2,yes,3,5,Real_Survey
22,male,in relationship,graduate,4.8,facebook,38,118,8.0,no,2,7,Real_Survey
19,female,single,undergraduate,6.0,tiktok,54,49,5.0,yes,4,6,Real_Survey
21,male,in relationship,graduate,4.2,instagram,58,43,7.3,yes,3,5,Real_Survey
20,female,single,undergraduate,4.6,facebook,50,84,8.1,no,2,7,Real_Survey
22,male,in relationship,graduate,4.9,tiktok,58,81,4.9,yes,4,6,Real_Survey
19,female,single,undergraduate,4.4,instagram,54,84,7.4,yes,3,5,Real_Survey
21,male,in relationship,graduate,4.7,facebook,45,86,8.2,no,2,7,Real_Survey
20,female,single,undergraduate,6.1,tiktok,57,74,4.8,yes,4,6,Real_Survey
22,male,in relationship,graduate,4.1,instagram,58,117,7.5,yes,3,5,Real_Survey
19,female,single,undergraduate,4.5,facebook,54,39,8.3,no,2,7,Real_Survey
21,male,in relationship,graduate,4.8,tiktok,54,59,4.7,yes,4,6,Real_Survey
20,female,single,undergraduate,4.3,instagram,52,77,7.6,yes,3,5,Real_Survey
22,male,in relationship,graduate,4.6,facebook,42,38,8.4,no,2,7,Real_Survey
19,female,single,undergraduate,6.2,tiktok,59,75,4.6,yes,4,6,Real_Survey
21,male,in relationship,graduate,4.0,instagram,58,121,7.7,yes,3,5,Real_Survey
20,female,single,undergraduate,4.4,facebook,46,80,8.5,no,2,7,Real_Survey
22,male,in relationship,graduate,4.7,tiktok,42,85,4.5,yes,4,6,Real_Survey
19,female,single,undergraduate,4.2,instagram,58,48,7.8,yes,3,5,Real_Survey
21,male,in relationship,graduate,4.5,facebook,53,64,8.6,no,2,7,Real_Survey
20,female,single,undergraduate,6.3,tiktok,53,70,4.4,yes,4,6,Real_Survey
22,male,in relationship,graduate,3.9,instagram,56,72,7.9,yes,3,5,Real_Survey
19,female,single,undergraduate,4.3,facebook,56,112,8.7,no,2,7,Real_Survey
21,male,in relationship,graduate,4.6,tiktok,69,93,4.3,yes,4,6,Real_Survey
20,female,single,undergraduate,4.1,instagram,54,52,8.0,yes,3,5,Real_Survey
22,male,in relationship,graduate,4.4,facebook,46,86,8.8,no,2,7,Real_Survey
19,female,single,undergraduate,6.4,tiktok,37,92,4.2,yes,4,6,Real_Survey
21,male,in relationship,graduate,3.8,instagram,47,108,8.1,yes,3,5,Real_Survey
20,female,single,undergraduate,4.2,facebook,55,119,8.9,no,2,7,Real_Survey
22,male,in relationship,graduate,4.5,tiktok,56,54,4.1,yes,4,6,Real_Survey
19,female,single,undergraduate,6.5,instagram,50,59,6.0,yes,4,5,Real_Survey
21,male,in relationship,graduate,5.8,tiktok,54,48,6.5,yes,3,6,Real_Survey
20,female,single,undergraduate,4.5,instagram,48,74,7.5,no,2,8,Real_Survey
22,male,in relationship,graduate,4.2,facebook,42,91,7.8,no,2,7,Real_Survey
19,female,single,undergraduate,3.8,line,54,104,7.9,no,1,8,Real_Survey
21,male,single,graduate,5.5,instagram,38,78,6.8,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,5.2,kakaotalk,53,72,6.5,yes,3,6,Real_Survey
22,male,single,graduate,4.8,vkontakte,66,83,7.2,no,2,7,Real_Survey
19,female,in relationship,undergraduate,7.0,tiktok,49,59,5.8,yes,4,4,Real_Survey
21,male,single,graduate,5.5,instagram,48,132,6.7,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.7,facebook,48,39,7.4,no,2,7,Real_Survey
22,male,single,graduate,4.0,instagram,60,84,7.9,no,1,8,Real_Survey
19,female,single,undergraduate,3.5,line,43,130,8.0,no,1,8,Real_Survey
21,male,in relationship,graduate,5.7,tiktok,53,80,6.5,yes,3,5,Real_Survey
20,female,single,undergraduate,5.0,kakaotalk,59,75,6.8,yes,3,6,Real_Survey
22,male,in relationship,graduate,4.5,vkontakte,71,71,7.4,no,2,7,Real_Survey
19,female,single,undergraduate,6.8,instagram,59,75,5.9,yes,4,4,Real_Survey
21,male,in relationship,graduate,5.6,facebook,56,114,6.6,yes,3,6,Real_Survey
20,female,single,undergraduate,4.6,instagram,41,24,7.3,no,2,7,Real_Survey
22,male,in relationship,graduate,4.1,facebook,62,118,7.7,no,2,8,Real_Survey
19,female,single,undergraduate,3.7,line,57,44,7.8,no,1,8,Real_Survey
21,male,single,graduate,5.4,instagram,40,73,6.7,yes,3,5,Real_Survey
20,female,in relationship,undergraduate,5.1,kakaotalk,54,69,6.6,yes,3,6,Real_Survey
22,male,single,graduate,4.7,vkontakte,43,94,7.3,no,2,7,Real_Survey
19,female,in relationship,undergraduate,6.9,tiktok,36,40,5.7,yes,4,4,Real_Survey
21,male,single,graduate,5.7,instagram,45,91,6.4,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.8,facebook,46,130,7.2,no,2,7,Real_Survey
22,male,single,graduate,3.9,instagram,48,45,7.8,no,1,8,Real_Survey
19,female,single,undergraduate,3.6,line,52,84,8.1,no,1,8,Real_Survey
21,male,in relationship,graduate,5.6,tiktok,54,63,6.6,yes,3,5,Real_Survey
20,female,single,undergraduate,4.9,kakaotalk,56,90,6.9,yes,3,6,Real_Survey
22,male,in relationship,graduate,4.6,vkontakte,50,80,7.5,no,2,7,Real_Survey
19,female,single,undergraduate,6.7,instagram,41,63,5.8,yes,4,4,Real_Survey
21,male,in relationship,graduate,5.4,facebook,52,92,6.5,yes,3,6,Real_Survey
20,female,single,undergraduate,4.4,instagram,51,125,7.4,no,2,7,Real_Survey
22,male,in relationship,graduate,4.0,facebook,46,75,7.6,no,2,8,Real_Survey
19,female,single,undergraduate,3.4,line,38,97,8.2,no,1,8,Real_Survey
21,male,single,graduate,5.3,instagram,30,47,6.8,yes,3,5,Real_Survey
20,female,in relationship,undergraduate,5.0,kakaotalk,48,56,6.7,yes,3,6,Real_Survey
22,male,single,graduate,4.4,vkontakte,51,91,7.6,no,2,7,Real_Survey
19,female,in relationship,undergraduate,6.6,tiktok,57,117,5.6,yes,4,4,Real_Survey
21,male,single,graduate,5.3,instagram,42,88,6.3,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.3,facebook,53,72,7.5,no,2,7,Real_Survey
22,male,single,graduate,3.8,instagram,54,79,7.7,no,1,8,Real_Survey
19,female,single,undergraduate,3.3,line,55,48,8.3,no,1,8,Real_Survey
21,male,in relationship,graduate,5.2,tiktok,47,95,6.9,yes,3,5,Real_Survey
20,female,single,undergraduate,4.8,kakaotalk,38,102,7.0,yes,3,6,Real_Survey
22,male,in relationship,graduate,4.3,vkontakte,51,68,7.7,no,2,7,Real_Survey
19,female,single,undergraduate,6.4,instagram,49,68,5.7,yes,4,4,Real_Survey
21,male,in relationship,graduate,5.2,facebook,50,86,6.4,yes,3,6,Real_Survey
20,female,single,undergraduate,4.5,instagram,38,69,7.3,no,2,7,Real_Survey
22,male,in relationship,graduate,3.7,facebook,44,78,7.8,no,1,8,Real_Survey
19,female,single,undergraduate,3.2,line,59,132,8.4,no,1,8,Real_Survey
21,male,single,graduate,5.4,instagram,43,73,6.7,yes,3,5,Real_Survey
20,female,in relationship,undergraduate,4.7,kakaotalk,53,71,7.1,yes,3,6,Real_Survey
22,male,single,graduate,4.2,vkontakte,51,63,7.8,no,2,7,Real_Survey
19,female,in relationship,undergraduate,6.6,tiktok,43,98,5.5,yes,4,4,Real_Survey
21,male,single,graduate,5.1,instagram,37,75,6.5,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.4,facebook,45,63,7.4,no,2,7,Real_Survey
22,male,single,graduate,3.6,instagram,59,113,7.9,no,1,8,Real_Survey
19,female,single,undergraduate,3.1,line,55,115,8.5,no,1,8,Real_Survey
21,male,in relationship,graduate,5.3,tiktok,47,64,6.8,yes,3,5,Real_Survey
20,female,single,undergraduate,4.6,kakaotalk,59,33,7.2,yes,3,6,Real_Survey
22,male,in relationship,graduate,4.1,vkontakte,49,105,7.9,no,2,7,Real_Survey
19,female,single,undergraduate,6.7,instagram,50,62,5.4,yes,4,4,Real_Survey
21,male,in relationship,graduate,5.0,facebook,61,99,6.6,yes,3,6,Real_Survey
20,female,single,undergraduate,4.3,instagram,45,30,7.5,no,2,7,Real_Survey
22,male,in relationship,graduate,3.5,facebook,62,102,8.0,no,1,8,Real_Survey
19,female,single,undergraduate,3.0,line,53,49,8.6,no,1,8,Real_Survey
21,male,single,graduate,5.2,instagram,55,98,6.9,yes,3,5,Real_Survey
20,female,in relationship,undergraduate,4.5,kakaotalk,42,80,7.3,yes,3,6,Real_Survey
22,male,single,graduate,4.0,vkontakte,72,56,8.0,no,2,7,Real_Survey
19,female,in relationship,undergraduate,6.8,tiktok,59,69,5.3,yes,4,4,Real_Survey
21,male,single,graduate,4.9,instagram,44,97,6.7,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.2,facebook,49,82,7.6,no,2,7,Real_Survey
22,male,single,graduate,3.4,instagram,47,94,8.1,no,1,8,Real_Survey
19,female,single,undergraduate,2.9,line,42,129,8.7,no,1,8,Real_Survey
21,male,in relationship,graduate,5.1,tiktok,71,40,7.0,yes,3,5,Real_Survey
20,female,single,undergraduate,4.4,kakaotalk,53,120,7.4,yes,3,6,Real_Survey
22,male,in relationship,graduate,3.9,vkontakte,56,82,8.1,no,2,7,Real_Survey
19,female,single,undergraduate,6.9,instagram,44,57,5.2,yes,4,4,Real_Survey
21,male,in relationship,graduate,4.8,facebook,42,46,6.8,yes,3,6,Real_Survey
20,female,single,undergraduate,4.1,instagram,46,75,7.7,no,2,7,Real_Survey
22,male,in relationship,graduate,3.3,facebook,48,103,8.2,no,1,8,Real_Survey
19,female,single,undergraduate,2.8,line,52,76,8.8,no,1,8,Real_Survey
21,male,single,graduate,5.0,instagram,42,117,7.1,yes,3,5,Real_Survey
20,female,in relationship,undergraduate,4.3,kakaotalk,53,43,7.5,yes,3,6,Real_Survey
22,male,single,graduate,3.8,vkontakte,58,79,8.2,no,2,7,Real_Survey
19,female,in relationship,undergraduate,7.0,tiktok,52,48,5.1,yes,4,4,Real_Survey
21,male,single,graduate,4.7,instagram,43,89,6.9,yes,3,6,Real_Survey
20,female,in relationship,undergraduate,4.0,facebook,45,102,7.8,no,2,7,Real_Survey
22,male,single,graduate,3.2,instagram,51,69,8.3,no,1,8,Real_Survey
19,female,single,undergraduate,2.7,line,32,20,8.9,no,1,8,Real_Survey
21,male,in relationship,graduate,4.9,tiktok,49,84,7.2,yes,3,5,Real_Survey
20,female,single,undergraduate,4.2,kakaotalk,46,90,7.6,yes,3,6,Real_Survey
22,male,in relationship,graduate,3.7,vkontakte,32,90,8.3,no,2,7,Real_Survey
19,female,single,undergraduate,7.1,instagram,53,110,5.0,yes,4,4,Real_Survey
21,male,in relationship,graduate,4.6,facebook,49,53,7.0,yes,3,6,Real_Survey
20,female,single,undergraduate,3.9,instagram,50,97,7.9,no,2,7,Real_Survey
22,male,in relationship,graduate,3.1,facebook,41,109,8.4,no,1,8,Real_Survey
19,female,single,undergraduate,5.2,instagram,46,35,6.8,yes,3,6,Real_Survey
21,male,in relationship,graduate,4.1,facebook,43,87,7.8,no,2,8,Real_Survey
20,female,single,undergraduate,5.0,instagram,72,67,7.0,yes,3,7,Real_Survey
22,male,in relationship,graduate,5.8,whatsapp,54,77,6.5,yes,4,5,Real_Survey
